ASIN,Product Title,Product URL,Review No.,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,1,https://www.amazon.com/gp/customer-reviews/R1IH51QY5DVP76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Yuzo,https://www.amazon.com/gp/profile/amzn1.account.AEQCB4GKWSVSQQW63J64NESLYGIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on August 16, 2018",It makes me happy,It distracts me from the fact that I have no friends,"1,960 people found this helpful",Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,2,https://www.amazon.com/gp/customer-reviews/R3TVP453PBNCW7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Sarah,https://www.amazon.com/gp/profile/amzn1.account.AG6EQ5Y7UFRQKBKOUI77EBKQ3U3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on September 7, 2018",Do not buy any Sony products through Amazon!,"Worked for a few months beforethe hard drive died for no apparent reason. The power supply works only to display a hard drive failure message. After contacting Sony and Amazon, Sony admits there was a hard drive issue with the model but claims Amazon is responsible to replace it, Amazon claims Sony is responsible to replace it. Do not buy a Sony products through amazon!",826 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,3,https://www.amazon.com/gp/customer-reviews/R31MDA4F13Y3LG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Junior,https://www.amazon.com/gp/profile/amzn1.account.AHROSASOBM4XR7NREE5J765IHFPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on October 30, 2018",Scaaaamed!,"I just realize this now, year later it's not 1tb it's 500 gbs LOOL! I deserve this for not knowing sooner🤦🏻‍♀️",628 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,4,https://www.amazon.com/gp/customer-reviews/R2FW5QE41TEHAX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Nobody Important,https://www.amazon.com/gp/profile/amzn1.account.AFVU6XS2RKWMCXYBHX2H75HNSCLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on February 28, 2018","A great all-in-one console,","I really love my new PS4 Slim, it's great, easy to setup and has a tons more options.Pros:Current Gen Console as of 2/28/2018Alot faster than the PS3 in generalTons of free gamesPlaystation Now is a pretty decent deal and has a wide selectionTons of media apps like netflix, hulu, amazon video, funimation, etc...Controller allows you to change brightness of glowTons of customization options to suit your console to you (including high contrast)Playstation plus seems to offer better deals for digital.Cons:No more composite output, which means I can't get audio through my pc the easy wayWhen you are downloading many items there can be menu lagSome apps tend to glitch and close application isn't an option. However, you can easily just restart.I got this because I had no reason to get the PS4 Pro, I don't have a 4K TV nor do I really care about 4K Gaming (and the 6-8 games that are supported for 4K on the Pro.) Honestly I just found this to be a better deal, as the Pro just seems to be a lazy cashgrab. It definitely is slim and fits into pretty much any keyboard space (for those of you with multiple desks like me.)Pretty much the ideal console in my opinion.",339 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,5,https://www.amazon.com/gp/customer-reviews/R2AGHSLPX8YY3G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Yinong,https://www.amazon.com/gp/profile/amzn1.account.AFJGQ6YU7DJPJ3QST2HHIWQ7IYTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on August 23, 2017",Slim is just fine.,"If you do not have a 4K TV, then you do not need PS4 pro.Slim is just fine.",662 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,6,https://www.amazon.com/gp/customer-reviews/R33NBPW5MIWEG1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Shariece,https://www.amazon.com/gp/profile/amzn1.account.AFL3GLWYP22Q3C5OBR7XR5PICNZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on November 28, 2017",So much faster than Original Playstation 4,"I’ve had the original PS4 system since it came and and have long run out of space on the 500GB hard drive so I decided to buy a newer updated version of the PS4.. the ps4 slim is awesome. There is a very noticeable performance between my slim and the original. The network connection on my slim is twice as good, games load much faster, download times are much quicker and most importantly I have twice as much HD space for games. I don’t even play a lot of games but still somehow ran out. If you’re noticing a decline in performance on your original ps4 you should definitely invest in a new with plus you can add on a 4 year warranty.",328 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,7,https://www.amazon.com/gp/customer-reviews/R1OKPIVHRR4M2Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Lost Pathfinder,https://www.amazon.com/gp/profile/amzn1.account.AET7JALPFVT57Z5EC3DTYUGNPTKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on September 18, 2018",Excellent,"So. This was an easy process. Up until the software update. NOTHING TO DO WITH THE SELLER. In short please place a few hours aside for the software update.  Each game you buy will have game updates. Each app you install (Amazon Netflix etc);will need to update . Very easy to use but put some time aside (if u have kids dont tell them you have it until updates are installed.Clean packed great all items included. No issues and, so far (less than 24 hrs), works fine",126 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,8,https://www.amazon.com/gp/customer-reviews/R24TGBNRPS0N7S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,J S.,https://www.amazon.com/gp/profile/amzn1.account.AGQWAKVDKX5TFAN5CLSHJWIUIQTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on December 13, 2017","AMAZON provided an excellent Product, Excellent protection to ship","AMAZON provided an excellent Product, Excellent protection to ship, and Excellent Product PS 4 - I have had all the previous Playstation Game machines, and do warn PS 4 buyers that SONY has never implemented ability to play U R PS 2 or PS 3 games on its PS4 system.PS 4 literature in box says they have BACKWARD COMPATIBILITY - but that is a ""LIE"".XBOX ONE does have BACKWARD COMPATIBILITY on previous games. NOT SONY w/ its PS4.The PS4 is an excellent product w/ 1 T'bite Storage and also uses less electricity than the 500GB storage models.AMAZON packaging was great when received. no complaints there. No complaints of the PS 4 either at this stage.So far I love it!But hate the NO PS 4 backward Compatibility, even with PLAYSTATION PLUS which is required to play & view ONLINE INTERNET.So Buyers who want to get in on PS 4 ground floor BUY only games that have ability to PLAY standalone, to get started.",185 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,9,https://www.amazon.com/gp/customer-reviews/R20DDHKZ2XUTWO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Lyn Torres,https://www.amazon.com/gp/profile/amzn1.account.AEF5T2ZVM7EOJOMZHATUCLS5SSOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on December 17, 2018",Wrong item received!,"Very disappointed, I received the 500gb PS4 instead of the 1tb I purchased.Also, serial number is a bit shady, it starts with MG instead of the normal MC or MB.It says “Amazon’s Choice” on the item so I bought it with confidence...Will return and will never buy consoles on Amazon again.",58 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,10,https://www.amazon.com/gp/customer-reviews/RU45DVLUGXI36/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,chefhoeyardee,https://www.amazon.com/gp/profile/amzn1.account.AFXWFARZ7CADZ547BLPCP5ADGMPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on February 22, 2019",STOPPED WORKING FIRST FEW MINUTES,"Seriously DO NOT BUY THIS. I was looking forward to this all week, even got a game and headset for it. I come home, hook it up, and it works just fine. I'm going through setting up my account and as I'm putting in my card info for PlayStation plus, it shuts off out of no where. I try to plug it into a different outlet, still doesn't work. I press the power button, nothing. When it does come on, it's on for no longer than a few minutes. I can hear a slight staticy sound when I move the power cord around. Sometimes it'll even shut off with a static screen on the TV as it shuts off. This isn't just a simple overheating problem, this is a defective console. I'm assuming the seller receives faulty consoles that other unhappy consumers have returned and just resells them for cheap instead of actually fixing them. RIDICULOUS. Now I have to wait over a week to get my money back and I MIGHT try to get a different console, but you can bet I'm staying FARRRR away from Amazon. Thanks for wasting my time.",45 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,11,https://www.amazon.com/gp/customer-reviews/R1KNL24YD8674K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Michael Vivirito,https://www.amazon.com/gp/profile/amzn1.account.AGPGTZVM5WOIRUCOXIMKMYJROCEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on October 31, 2018",Unwilling to work with the customer,They sold me a PlayStation with a faulty disk drive they wanted me to go through the hassle of returning the console after I already had games downloaded and my account setup and wouldn’t give me some kind of refund,34 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,12,https://www.amazon.com/gp/customer-reviews/R2IEUNCZZY9ZZ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Erik,https://www.amazon.com/gp/profile/amzn1.account.AHVK3AZFCLRCBKPKJIPZIKT7TZ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0 out of 5 stars,"Reviewed in the United States on January 7, 2019","Good Games, But..","I like the  PS and have always been a fan; the games are great, but that is a matter of opinion, so I'm giving the system 2 stars based on the system itself and my experience. I guess it goes without saying it hasn't been great. I had to replace my first PS because the infamous disc-eject issue. I tried everything but it just kept happening. My second PS is this slim edition. So far so good (hasn't broken), but compared to any system I've ever had (maybe beside the NES) it freezes the most, sometimes it just goes extremely slow in menus to the point you almost have to walk away before it's operational. It's also froze a few times without the power button being able to shut it off so you have to unplug, I assume, which has caused corrupted data, which has caused me to have to a reset. Literally the only other person I know with a PS, whom is a close Cousin of mine, has had to replace 2 systems already. We've ranted about how awful our experience has been with the PS4 on more than one occasion being that we've bought 5 systems between two people...for two people. I'm not saying anybody shouldn't buy one, more than likely yours will work, I'm sure, but I still feel the need to put in my 2 cents.",20 people found this helpful,Yes
B071CV8CG2,PlayStation 4 Slim 1TB Console,https://www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=cm_cr_arp_d_product_top?ie=UTF8,13,https://www.amazon.com/gp/customer-reviews/R3U3XDFOLYQD1C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071CV8CG2,Megan Morrow,https://www.amazon.com/gp/profile/amzn1.account.AGSEFJX6TPSENE66CWWLHHFUGPXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on August 15, 2018",Defective product!,"The ps4 was defective. Everything seemed to work properly but when I downloaded a game, I could not open it. Every time I tried I just got an error code.",37 people found this helpful,Yes
